TrackId,TrackName,Composer,Milliseconds,UnitPrice,AlbumId,AlbumTitle,GenreId,GenreName,MediaTypeId,MediaTypeName
1,"For Those About To Rock (We Salute You)","Angus Young, Malcolm Young, Brian Johnson",343719,0.99,1,"For Those About To Rock We Salute You",1,Rock,1,"MPEG audio file"
6,"Put The Finger On You","Angus Young, Malcolm Young, Brian Johnson",205662,0.99,1,"For Those About To Rock We Salute You",1,Rock,1,"MPEG audio file"
7,"Let's Get It Up","Angus Young, Malcolm Young, Brian Johnson",233926,0.99,1,"For Those About To Rock We Salute You",1,Rock,1,"MPEG audio file"
8,"Inject The Venom","Angus Young, Malcolm Young, Brian Johnson",210834,0.99,1,"For Those About To Rock We Salute You",1,Rock,1,"MPEG audio file"
9,Snowballed,"Angus Young, Malcolm Young, Brian Johnson",203102,0.99,1,"For Those About To Rock We Salute You",1,Rock,1,"MPEG audio file"
10,"Evil Walks","Angus Young, Malcolm Young, Brian Johnson",263497,0.99,1,"For Those About To Rock We Salute You",1,Rock,1,"MPEG audio file"
11,C.O.D.,"Angus Young, Malcolm Young, Brian Johnson",199836,0.99,1,"For Those About To Rock We Salute You",1,Rock,1,"MPEG audio file"
12,"Breaking The Rules","Angus Young, Malcolm Young, Brian Johnson",263288,0.99,1,"For Those About To Rock We Salute You",1,Rock,1,"MPEG audio file"
13,"Night Of The Long Knives","Angus Young, Malcolm Young, Brian Johnson",205688,0.99,1,"For Those About To Rock We Salute You",1,Rock,1,"MPEG audio file"
14,Spellbound,"Angus Young, Malcolm Young, Brian Johnson",270863,0.99,1,"For Those About To Rock We Salute You",1,Rock,1,"MPEG audio file"
15,"Go Down",AC/DC,331180,0.99,4,"Let There Be Rock",1,Rock,1,"MPEG audio file"
16,"Dog Eat Dog",AC/DC,215196,0.99,4,"Let There Be Rock",1,Rock,1,"MPEG audio file"
17,"Let There Be Rock",AC/DC,366654,0.99,4,"Let There Be Rock",1,Rock,1,"MPEG audio file"
18,"Bad Boy Boogie",AC/DC,267728,0.99,4,"Let There Be Rock",1,Rock,1,"MPEG audio file"
19,"Problem Child",AC/DC,325041,0.99,4,"Let There Be Rock",1,Rock,1,"MPEG audio file"
20,Overdose,AC/DC,369319,0.99,4,"Let There Be Rock",1,Rock,1,"MPEG audio file"
21,"Hell Ain't A Bad Place To Be",AC/DC,254380,0.99,4,"Let There Be Rock",1,Rock,1,"MPEG audio file"
22,"Whole Lotta Rosie",AC/DC,323761,0.99,4,"Let There Be Rock",1,Rock,1,"MPEG audio file"
23,"Walk On Water","Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw",295680,0.99,5,"Big Ones",1,Rock,1,"MPEG audio file"
24,"Love In An Elevator","Steven Tyler, Joe Perry",321828,0.99,5,"Big Ones",1,Rock,1,"MPEG audio file"
25,"Rag Doll","Steven Tyler, Joe Perry, Jim Vallance, Holly Knight",264698,0.99,5,"Big Ones",1,Rock,1,"MPEG audio file"
26,"What It Takes","Steven Tyler, Joe Perry, Desmond Child",310622,0.99,5,"Big Ones",1,Rock,1,"MPEG audio file"
27,"Dude (Looks Like A Lady)","Steven Tyler, Joe Perry, Desmond Child",264855,0.99,5,"Big Ones",1,Rock,1,"MPEG audio file"
28,"Janie's Got A Gun","Steven Tyler, Tom Hamilton",330736,0.99,5,"Big Ones",1,Rock,1,"MPEG audio file"
29,Cryin',"Steven Tyler, Joe Perry, Taylor Rhodes",309263,0.99,5,"Big Ones",1,Rock,1,"MPEG audio file"
30,Amazing,"Steven Tyler, Richie Supa",356519,0.99,5,"Big Ones",1,Rock,1,"MPEG audio file"
31,"Blind Man","Steven Tyler, Joe Perry, Taylor Rhodes",240718,0.99,5,"Big Ones",1,Rock,1,"MPEG audio file"
32,"Deuces Are Wild","Steven Tyler, Jim Vallance",215875,0.99,5,"Big Ones",1,Rock,1,"MPEG audio file"
33,"The Other Side","Steven Tyler, Jim Vallance",244375,0.99,5,"Big Ones",1,Rock,1,"MPEG audio file"
34,Crazy,"Steven Tyler, Joe Perry, Desmond Child",316656,0.99,5,"Big Ones",1,Rock,1,"MPEG audio file"
35,"Eat The Rich","Steven Tyler, Joe Perry, Jim Vallance",251036,0.99,5,"Big Ones",1,Rock,1,"MPEG audio file"
36,Angel,"Steven Tyler, Desmond Child",307617,0.99,5,"Big Ones",1,Rock,1,"MPEG audio file"
37,"Livin' On The Edge","Steven Tyler, Joe Perry, Mark Hudson",381231,0.99,5,"Big Ones",1,Rock,1,"MPEG audio file"
38,"All I Really Want","Alanis Morissette & Glenn Ballard",284891,0.99,6,"Jagged Little Pill",1,Rock,1,"MPEG audio file"
39,"You Oughta Know","Alanis Morissette & Glenn Ballard",249234,0.99,6,"Jagged Little Pill",1,Rock,1,"MPEG audio file"
40,Perfect,"Alanis Morissette & Glenn Ballard",188133,0.99,6,"Jagged Little Pill",1,Rock,1,"MPEG audio file"
41,"Hand In My Pocket","Alanis Morissette & Glenn Ballard",221570,0.99,6,"Jagged Little Pill",1,Rock,1,"MPEG audio file"
42,"Right Through You","Alanis Morissette & Glenn Ballard",176117,0.99,6,"Jagged Little Pill",1,Rock,1,"MPEG audio file"
43,Forgiven,"Alanis Morissette & Glenn Ballard",300355,0.99,6,"Jagged Little Pill",1,Rock,1,"MPEG audio file"
44,"You Learn","Alanis Morissette & Glenn Ballard",239699,0.99,6,"Jagged Little Pill",1,Rock,1,"MPEG audio file"
45,"Head Over Feet","Alanis Morissette & Glenn Ballard",267493,0.99,6,"Jagged Little Pill",1,Rock,1,"MPEG audio file"
46,"Mary Jane","Alanis Morissette & Glenn Ballard",280607,0.99,6,"Jagged Little Pill",1,Rock,1,"MPEG audio file"
